-2.78529	6.94894	4537.72
-2.28716	6.08995	1462.33
-1.83729	6.29311	1991.56
-3.11113	6.32451	2082.95
-1.38649	6.20424	1747.17
-0.890559	6.98569	4725.42
-1.19488	6.3164	2059.07
-2.01035	6.31298	2049.06
-1.65934	6.11067	1511.61
-3.01993	6.17198	1663.51
-1.70659	6.11174	1514.18
-1.90983	6.8558	4085.65
-1.68815	5.62275	595.577
-1.43653	6.8558	4085.65
-1.67375	4.91907	-43.3994
-1.0031	6.2224	1795.43
-1.13493	6.37621	2239.34
-0.369097	6.7586	3648.68
-0.387275	6.97351	4662.62
-0.438263	6.75753	3644.06
-0.625513	6.50097	2648.51
0.309709	6.98334	4713.25
-1.64199	6.31597	2057.81
-1.16243	6.97671	4679.08
-0.666931	6.97757	4683.48
-0.274988	6.93164	4451.19
0.322255	6.99017	4748.7
-0.399317	6.96432	4615.63
0.820126	6.95044	4545.26
1.62405	6.92972	4441.65
1.23277	6.81842	3913.48
0.587699	6.81842	3913.48
0.0632633	6.74621	3595.43
0.525572	6.68853	3354.66
-0.381317	6.95087	4547.41
0.0547716	6.58044	2933.81
-0.755626	6.81244	3886.42
0.187011	6.9436	4510.89
1.92141	6.93805	4483.1
0.189873	6.14656	1599.41
0.322356	6.94852	4535.57
0.628856	6.99573	4777.65
1.39913	6.8323	3976.82
0.678563	6.94894	4537.72
0.101654	6.91113	4350.15
-0.639016	6.98718	4733.17
-0.105495	6.8417	4020.11
-0.704514	5.1062	67.0494
-0.516828	6.77206	3707.13
-0.0834617	5.38798	309.051
-0.401799	6.83764	4001.38
-1.24483	6.83764	4001.38
-0.688648	5.68299	683.568
-0.61634	6.83828	4004.33
-0.0164663	6.13268	1565.06
-0.103545	5.97246	1201.71
-0.91556	5.93828	1131.67
-0.275973	6.69238	3370.35
-0.53347	6.09059	1463.83
-0.0091902	6.84448	4032.96
-0.611905	6.97116	4650.57
-0.0636158	6.45568	2494.65
-0.0784863	6.11751	1528.09
0.560258	6.87674	4184.36
1.69727	6.9498	4542.03
0.379268	6.9718	4653.85
0.872005	6.96988	4644
0.400002	5.62382	597.083
-1.01611	4.89279	-56.1519
-0.334052	4.8428	-78.6928
-1.06281	6.96304	4609.11
-0.352045	6.96304	4609.11
0.811812	6.30657	2030.4
0.930009	6.30315	2020.49
0.207002	6.30401	2022.96
-0.343718	6.8244	3940.68
-1.7591	6.8244	3940.68
-0.311606	6.99017	4748.7
-0.763325	6.62145	3088.95
0.123969	6.47213	2549.82
-0.441664	6.96304	4609.11
0.0665254	6.9295	4440.59
-1.97458	6.41125	2349.63
-0.717381	6.62231	3092.24
0.104329	6.62188	3090.59
-0.852912	6.69195	3368.6
-0.769514	6.63555	3143.55
-1.64707	6.30379	2022.34
-0.684565	6.8197	3919.3
-0.897119	6.95279	4557.11
-1.2034	6.89703	4281.64
-1.09684	6.61141	3050.47
-1.31198	6.74322	3582.66
-0.921674	6.75369	3627.5
-0.590098	6.76138	3660.68
-0.919309	6.99124	4754.26
